"ID","Kalimat","Kelas"
"0","RISALAH RESMI Tahun Sidang : 2014-2015 Masa Persidangan : III Rapat ke- : 26 Jenis Rapat : Rapat Paripurna DPR RI Sifat Rapat : Terbuka Hari, tanggal : Selasa, 21 April 2015 Waktu : Pukul 15 .","Other"
"1","00 WIB sd .","Other"
"2","selesai T e m p a t : Ruang Rapat Paripurna, Gedung Nusantara II Paripurna Lantai 3 Jl. Jenderal Gatot Subroto - Jakarta Pusat Acara : 1 .","Other"
"3","Lapran Komisi XI DPR RI terhadap Hasil Fit and Proper Test Calon Deputi Gubernur Bank Indonesia dilanjutkan dengan Pengampilan Keputusan; 2 .","Other"
"4","Laporan Badan Urusan Rumah Tangga DPR RI terhadap Hasil Pembahasan Rancangan Kerja dan Anggaran DPR RI Tahun Anggaran 2016 dilanjutkan dengan Pengambilan Keputusan .","Statement"
"5","Ketua Rapat : Dr. Agus Hermanto (Wakil Ketua DPR RI Bidang Inbang) Didampingi: H. Fadli Zon, S. S. , M. Sc .","Other"
"6","(Wakil Ketua DPR RI Bidang Polkam) Sekretaris Rapat : Dr. Winangtuningtyastiti, M. Si .","Other"
"7","(Sekretaris Jenderal DPR RI) H a d I r : ANGGOTA DPR RI: 286 dari 560 orang Anggota dengan rincian: FRAKSI PARTAI FOLONGAN KARYA 49 dari 91 orang Anggota; FRAKSI PARTAI GERAKAN INDONESIA RAYA 41 dari 73 orang Anggota; FRAKSI PARTAI DEMOKRAT 34 dari 61 orang Anggota; FRAKSI PARTAI AMANAT NASIONAL 25 dari 48 orang Anggota; FRAKSI PARTAI KEBANGKITAN BANGSA 26 dari 47 orang Anggota; FRAKSI PARTAI KEADILAN SEJAHTERA 19 dari 40 orang Anggota; FRAKSI PARTAI PERSATUAN PEMBANGUNAN 20 dari 39 orang Anggota; FRAKSI PARTAI NASIONAL DEMOKRAT 20 dari 36 orang Anggota; FRAKSI PARTAI HANURA 9 dari 16 orang Anggota; SEKRETARIAT JENDERAL DPR RI: 1) Achmad Djuned, S. H. , M. H. (Wasekjen DPR RI) 2) Tatang Sutharsa, S. H. (Deputi Bidang Persidangan dan KSAP) 3) K. Johnson Rajagukguk, S. H. , M. H. (Deputi Bidang Perundang-undangan) 4) Drs. Helmizar (Kepala Biro Persidangan) 5) Dr. Dewi Barliana S. , S. H. , M. Hum .","Other"
"8","(Kepala Biro Kesekretariatan Pimpinan) 6) Dra. Mitra Anindyarina (Kepala Bagian Persidangan Paripurna) 3DAFTAR HADIR ANGGOTA DPR Ri PADA RAP AT PARIPURNA TANGGAL 21 APRIL 20151 .","Other"
"9","FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGANNOURUTNAMA NOMORANGGOTA1 .","Other"
"10","Ir. TAGORE ABU BAKAR(Aceh II) 1242 .","Other"
"11","TRIMEDYA PANJAITAN, S. H. , M. H. (Sumut II)1273 .","Other"
"12","Dr. JUNIMART GIRSANG, S. H. , M. B. A. , M. H. (Sumut III)1284 .","Other"
"13","ALEX INDRA LUKMAN(Sumbar 1)1295 .","Other"
"14","AG US SUSANTO(Sumbar II)1306 .","Other"
"15","IHSAN YUNUS, M. E. Con .","Other"
"16",", Std .","Other"
"17","(Jambi)1337 .","Other"
"18","Ir. NAZARUDIN KIEMAS(Sumsel 1)1348 .","Other"
"19","H. R. ERWIN MOESLIMIN SINGAJURU, S. H. , M. H. (Sumsel II)1359 .","Other"
"20","Ir. ISMAYATUN(Lampung 1)13810 .","Other"
"21","H. KRH .","Other"
"22","HENRY YOSODININGRAT, S. H. (Lampung II)  .","Other"
"23","ITET TRIDJAJATI SUMARIJANTO, M. B. A. (Lampung II)14112 .","Other"
"24","Ir. RUDIANTO TJEN(Bangka Belitung)14213 .","Other"
"25","DWI RIA LATIFA, S. H. , M. Sc .","Other"
"26","(Kepri)14314 .","Other"
"27","Dra. SARWO BUDI WIRY ANTI SUKAMDANI(DKI Jakarta 1)14415 .","Other"
"28","Ir. ERIKO SOTARDUGA, B. P. S. (DKI Jakarta II)14516 .","Other"
"29","Drs. EFFENDI MS SIMBOLON, M. I. Pol .","Other"
"30","(DKI Jakarta III)14717 .","Statement"
"31","Ir. KETUT SUSTIAWAN(Jabar 1)15018 .","Other"
"32","Dr. JALALUDIN RAKHMAT, M. Sc .","Other"
"33","(Jabar II)15219 .","Statement"
"34","DIAH PITALOKA, S. Sos .","Other"
