"ID","Kalimat","Kelas"
"0","RISALAH RESMI Tahun Sidang : 2014-2015 Masa Persidangan : IV Rapat ke- : 34 Jenis Rapat : Rapat Paripurna DPR RI Sifat Rapat : Terbuka Hari, tanggal : Kamis, 25 Juni 2015 Waktu : Pukul 11 .","Other"
"1","00 WIB sd .","Other"
"2","55 WIB T e m p a t : Ruang Rapat Paripurna Gedung Nusantara II Lt .","Other"
"3","3 Jln. Jend. Gatot Subroto - Jakarta Acara : 1 .","Other"
"4","Keterangan Pemerintah mengenai Pokok-pokok RUU tentang Pertanggungjawaban atas Pelaksanaan APBN Tahun Anggaran 2014; 2 .","Other"
"5","Pendapat Fraksi-fraksi terhadap RUU-RUU Usul Inisiatif Anggota DPR-RI, dilanjutkan dengan Pengambilan Keputusan menjadi RUU-RUU Usul DPR-RI, yaitu: a .","Other"
"6","RUU tentang Tabungan Perumatan Rakyat (Tapera); b .","Other"
"7","RUU tentang Penjaminan .","Other"
"8","Ketua Rapat : Dr. Ir. H. Taufik Kurniawan, M. M. (Wakil Ketua DPR RI Bidang Ekku) Didampingi: 1 .","Other"
"9","Drs. Setya Novianto, Ak. (Ketua DPR RI) 2 .","Other"
"10","Dr. Agus Hermanto (Wakil Ketua DPR RI Bidang Inbang) Sekretaris Rapat : Dr. WINANTUNINGTYASTITI S. , M. Si .","Statement"
"11","(Sekretaris Jenderal DPR RI) H a d I r : ANGGOTA DPR RI: 398 dari 555 orang Anggota dengan rincian: FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN 76 dari 109 orang Anggota; FRAKSI PARTAI FOLONGAN KARYA 71 dari 91 orang Anggota; FRAKSI PARTAI GERAKAN INDONESIA RAYA 51 dari 73 orang Anggota; FRAKSI PARTAI DEMOKRAT 45 dari 61 orang Anggota; FRAKSI PARTAI AMANAT NASIONAL 38 dari 48 orang Anggota; FRAKSI PARTAI KEBANGKITAN BANGSA 30 dari 47 orang Anggota; FRAKSI PARTAI KEADILAN SEJAHTERA 34 dari 40 orang Anggota; FRAKSI PARTAI PERSATUAN PEMBANGUNAN 28 dari 39 orang Anggota; FRAKSI PARTAI NASIONAL DEMOKRAT 27 dari 36 orang Anggota; FRAKSI PARTAI HANURA 13 dari 16 orang Anggota; SEKRETARIAT JENDERAL DPR RI: 1) Achmad Djuned, S. H. , M. H. (Wakil Sekretaris Jenderal DPR RI) 2) Drs. Setyanta Nugraha, M. M. (Deputi Bidang Anggaran dan Pengawasan) 3) Dr. Dewi Barliana S. , S. H. , M. Hum .","Other"
"12","(Lakhar .","Other"
"13","Deputi Persidangan dan KSAP: Kepala Biro Kesekretariatan Pimpinan) 4) Drs. Helmizar (Kepala Biro Persidangan) 5) Dra. Mitra Anindyarina (Kepala Bagian Persidangan Paripurna) DEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIATahun Sidang Masa Persidangan Rapat ke- Jenis RapatSifat RapatHari, tanggalWaktuT e m p a tAcaraKetua RapatSekretaris RapatRiSALAH RESMI2014-2015IV34Rapat Paripurna DPR Rl TerbukaKamis, 25 Juni2015Pukul 11 .","Other"
"14","00 s .","Other"
"15","d .","Other"
"16","55 WIBRuang Rapat ParipurnaGedung Nusantara II Lt .","Other"
"17","3Jin .","Other"
"18","Jend. Gatot Subroto - Jakarta1 .","Other"
"19","Keterangan Pemerintah mengenai Pokok-pokok RUU tentang Pertanggungjawaban atas Pelaksanaan APBN Tahun Anggaran 2014;2 .","Other"
"20","Pendapat Fraksi-fraksi terhadap RUU-RUU Usui Inisiatif Anggota DPR-RI, dilanjutkan dengan Pengambilan Keputusan menjadi RUU-RUU Usui DPR-RI, yaitu:a .","Other"
"21","RUU tentang Tabungan Perumahan Rakyat (Tapera);b .","Other"
"22","RUU tentang Penjaminan .","Other"
"23","Dr. Ir. H. Taufik Kurniawan, M. M. (Wakil Ketua DPR Rl Bidang Ekku)Didampingi:1 .","Other"
"24","Drs. Setya Novanto, Ak. (Ketua DPR Rl)2 .","Other"
"25","Dr. Agus Hermanto(Wakil Ketua DPR Rl Bidang Inbang)3 .","Other"
"26","Fadli Zon, S. S. , M. Sc .","Other"
"27","(Wakil Ketua DPR Rl Bidang Polkam)4 .","Other"
"28","Fahri Hamzah, S. E. - (Wakil Ketua DPR Rl Bidang Kesra)Dr .","Other"
"29","WINANTUNINGTYASTITI S. , M. Si .","Other"
"30","(Sekretaris Jenderal DPR Rl2H a d i r ANGGOTA DPR Rl:413 dari 555 orang Anggota dengan rincian:FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN76 dari 109 orang Anggota;FRAKSI PARTAI GOLONGAN KARYA71 dari 91 orang Anggota;FRAKSI PARTAI GERAKAN INDONESIA RAYA51 dari 73 orang Anggota;FRAKSI PARTAI DEMOKRAT45 dari 61 orang Anggota;FRAKSI PARTAI AMANAT NASIONAL38 dari 48 orang Anggota;FRAKSI PARTAI KEBANGKITAN BANGSA30 dari 47 orang Anggota;FRAKSI PARTAI KEADILAN SEJAHTERA34 dari 40 orang Anggota;FRAKSI PARTAI PERSATUAN PEMBANGUNAN28 dari 39 orang Anggota;FRAKSI PARTAI NASIONAL DEMOKRAT27 dari 36 orang Anggota;FRAKSI PARTAI HATI NURANI RAKYAT13 dari 16 orang Anggota;SEKRETARIAT JENDERAL DPR Rl:1) Achmad Djuned, S. H. , M. H. (Wakil Sekretaris Jenderal DPR Rl)2) Drs. Setyanta Nugraha, M. M. (Deputi Bidang Anggaran dan Pengawasan)3) Dr. Dewi Barliana S. , S. H. , M. Hum .","Other"
"31","(Lakhar Deputi Persidangan dan KSAP; Kepala Biro Kesekretariatan Pimpinan)4) Drs. Helmizar(Kepala Biro Persidangan)5) Dra. Mitra Anindyarina(Kepala Bagian Persidangan Paripurna)3DAFTAR HADIR ANGGOTA DPR Rl PADA RAPAT PARIPURNA TANGGAL 25 JUNI 20151 .","Other"
"32","FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGANNOURUTNAMA NOMORANGGOTA1 .","Other"
"33","Ir. TAGORE ABU BAKAR(Aceh II) 1242 .","Other"
"34","dr. SOFYAN TAN(Sumut 1) 1263 .","Statement"
"35","TRIMEDYA PANJAITAN, S. H. , M. H. (Sumut II)1274 .","Other"
"36","Dr. JUNIMART GIRSANG, S. H. , M. B. A. , M. H. (Sumut III) 1285 .","Other"
"37","ALEX INDRA LUKMAN(Sumbar 1) 1296 .","Other"
"38","AGUS SUSANTO(Sumbar II) 1307 .","Other"
"39","Ir. EFFEND! SIANIPAR(Riau 1)1318 .","Statement"
"40","IHSAN YUNUS, M. E. Con .","Other"
"41",", Std .","Other"
"42","(Jambi)1339 .","Other"
"43","Ir. NAZARUDIN KIEMAS(Sumsel 1)13410 .","Statement"
"44","H. R. ERWIN MOESLIMIN SINGAJURU, S. H. , M. H. (Sumsel II)13511 .","Statement"
"45","Hj. ELVA HARTATI, S. I. P. , M. M. (Bengkulu) 13712 .","Other"
