"ID","Kalimat","Kelas"
"0","Pertama-tama seperti biasanya kita memanjatkan puji syukur kehadirat Allah Subhanahu Wataala, Tuhan Yang Maha Esa yang telah melimpahkan rahmat dan karunia-Nya kepada kita semua sehingga kita dapat mengikuti Rapat Paripurna DPR pada hari ini dalam keadaan sehat walafiat untuk melaksanakan tugas-tugas konstitusional kita .","Other"
"1","Dan menurut catatan dari Sekretariat Jenderal DPR Rl total yang menandatangani daftar hadir adalah 308 .","Other"
"2","Dan oleh karena itu dari 558 Anggota DPR yang dihadiri oleh seluruh fraksi yang ada .","Other"
"3","Dengan demikian kuorum telah tercapai .","Other"
"4","Dan dengan mengucapkan Bismillahirrahmanirrahim, perkenankanlah kami selaku Pimpinan Dewan membuka Rapat Paripurna yang ke-17 Masa Persidangan ke III Tahun Sidang 2016-2017, hari Selasa, 24 Januari 2017 .","Statement"
"5","Dan kami nyatakan terbuka untuk umum .","Other"
"6","(RAPAT DIBUKA PUKUL 1050 WIB)Hadirin yang kami hormati,Marilah kita berdiri dan menyanyikan lagu Kebangsaan Indonesia Raya .","Other"
"7","(MENYANYIKAN LAGU KEBANGSAAN INDONESIA RAYA)F-PKS (DRS AL MUZZAMMIL YUSUF, MSi):Pimpinan, kami minta interupsi sebentar .","Other"
"8","Al Muzzammil Yusuf A-93 Dapil Lampung .","Other"
"9","KETUA RAPAT:Silakan Pak .","Other"
"10","26F-PKS (DRS AL MUZZAMMIL YUSUF, MSL):Assalamu'alaikum Warahmatullahi Wabarakaatuh,Pimpinan dan Anggota DPR Rl yang kami hormati,Hadirin sekalian,Saya AL Muzzammil Yusuf A-93, Dapil Lampung .","Other"
"11","Pada sidang yang terhormat ini perkenankanlah saya untuk mengawali pernyataan saya ini dengan mengutip Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 Pasal 27 Ayat (1), segala warga negara bersamaan kedudukannya didalam hukum dan pemerintahan"" .","Other"
"12","Serta Pasal 1 Ayat (3), Negara Indonesia adalah negara hukum"" .","Statement"
"13","Ada pun ciri hukum .","Statement"
"14","Ciri negara hukum adalah adanya supremasi hukum, equality the for the law, ju process of law, peradilan merdeka dan penegakan hukum .","Statement"
"15","Dengan mengacu pada 2 pasal Undang-Undang Dasar tersebut ditambah dengan fungsi DPR pada Pasal 20A Undang-Undang Dasar, fungsi pengawasan terhadap Pemerintahan, maka pada kesempatan ini saya ingin bertanya kepada kita semua .","Other"
"16","Khususnya kepada Presiden Republik Indonesia Jokowi dan aparat penegak hukum khususnya Bapak Kapolri status para pembuat lambang atau gambar, tulisan di bendera merah putih .","Other"
"17","Saya ingin tunjukkan beberapa contoh, ini ada lambang konser merah-putih dengan konser band seorang artis kita yaitu Iwan Fals .","Other"
"18","Kedua, demonstras! merah-putih kita Indonesia ditulis dibendera, satu demonstrasi di Jakarta .","Other"
"19","Ketiga, kami minta bebaskan Ahok juga di merah-putih .","Other"
"20","Keempat, band dream theater juga di merah-putih .","Other"
"21","Kelima juga Metalica juga di merah-putih .","Other"
"22","Dan keenam, merah- putih ada tulisan La ilaha illallah .","Other"
"23","Pertanyaan kami kepada Presiden khususnya kepada Kapolri .","Other"
"24","Penyataan Kabid Humas Polda Jaya mengatakan tanpa ada pelapor akan mengusut Nurul Fahmi, pembuat bendera La ilaha illallah diatas merah-putih .","Other"
"25","Kalau tanpa pelapor bagaimana dengan pelaku yang lain .","Other"
"26","Mengapa mereka tidak diusut .","Other"
"27","Asas equality before the law sebagai negara hukum telah kita langgar .","Other"
"28","Dan Undang-Undang 24 Tahun 2009 tentang bendera atau lambang negara disebutkan disitu hukuman itu adalah pada mereka yang menodai dengan maksud menodai, merendahkan martabat bendera negara .","Other"
"29","Apakah La ilaha illallah adalah kata-kata yang menodai?","Other"
"30","Kata-kata yang suci sepertinya dianggap menodai, yang pantas menodai adalah kata-kata kotor, perlawanan terhadap NKRl, kata-kata keji .","Other"
"31","Kalau proses ini dilanjutkan, artinya kita membiarkan makna Metalica, dream teater, dan berbagai kata lainnya lebih mulia daripada kata La ilaha illallah .","Other"
"32","Sebuah kata yang telah membebaskan Indonesia dengan perjuangan para Pahlawan Nasional melawan penjajahan .","Other"
"33","Oleh karena itu saya meminta kepada Kapolri, supremasi hukum bukanlah kekuasaan .","Other"
"34","Persamaan diantara hukum bukan perbedaan .","Statement"
"35","Ju process of law, menuruti aturan hukum adanya kesengajaan penggunaan tentu tidak layak kata La ilaha illallah disamakan dengan kata penghinaan .","Other"
"36","Itu adalah kata kemuliaan .","Statement"
"37","Dua kata yang paling mulia bagi seorang muslim untuk masuk Islam .","Other"
"38","Salah satu katanya adalah La ilaha illallah .","Other"
"39","Dan ditangkap Nurul Fahmi tengah malam seperti seorang teroris dan pengedar narkoba .","Statement"
"40","27Oleh karena itu kami ingatkan kepada Kapolri, DPR Ri punya hak untuk pengawasan dijamin oleh konstitusi .","Request"
"41","Tegakan negara hukum sesuai dengan Pasal 1 Ayat (3) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 atau Pasal 27 persamaan semua warga negara dalam hukum dan pemerintahan .","Statement"
"42","Dan kepada Presiden Jokowi yang punya kewenangan untuk memilih menyeleksi dengan mengajukan kepada DPR .","Statement"
"43","Mohon anda pun ikut memantau kinerja Kapolri dan jangan sampai sejarah Presiden Jokowi dikotori dengan penahanan terhadap kata yang sangat mulia bagi kaum muslimin La ilaha illallah diatas bendera merah-putih yang kita cintai .","Other"
"44","Saya yakin, saya berada disini dengan  .","Statement"
"45","saya .","Statement"
"46","Saya tidak sendiri .","Statement"
"47","Saya yakin banyak seluruh Anggota DPR ini yang bersama kami .","Statement"
"48","Oleh karena itu untuk menuntut sebagai pengawasan DPR, penegakan hukum ini .","Statement"
"49","Saya minta kepada teman-teman yang punya perasaan simpati yang sama untuk berdiri untuk dilihat oleh berapa banyak DPR RI ini yang setuju dengan pernyataan ini .","Statement"
"50","Saya mohon yang setuju kita berdiri .","Statement"
"51","Kita teriakan La ilaha illallah, muslim cinta NKRI .","Other"
"52","La ilaha illallah, muslim cinta NKRI .","Statement"
"53","Demikian pernyataan kami bisa dilihat dari berbagai fraksi .","Other"
"54","Assalamu'alaikum Warahmatullahi Wabarakaatuh .","Other"
"55","F-NASDEM (ZULFAN LINDAN):Assalamu'alaikum Warahmatullahi Wabarakaatuh,KETUA RAPAT:Pak Zulfan, kami persilakan .","Statement"
"56","F-NASDEM (ZULFAN LINDAN):Terima kasih .","Other"
"57","Assalamu'alaikum Warahmatullahi Wabarakaatuh,Bismillahirahmanirrahim,Saudara Pimpinan dan kawan-kawan sekalian,Saya hanya ingin mengingatkan saja bahwa dalam 2 tahun ini sepertinya DPR RI tersandera .","Other"
"58","DPR ini berada dibawah kepentingan politik .","Other"
"59","Sudah saatnya sekarang Pimpinan DPR dan semua kita ini menggunakan hak kita sebagai Anggota DPR, baik hak pengawasan, budgeting dan Iain-lain .","Other"
"60","Hal ini sangat penting .","Statement"
"61","Jangan DPR ini terkebiri .","Other"
"62","Dua tahun kita tersandera .","Other"
"63","Kita dicaci maki oleh berbagai pihak .","Other"
"64","Sekarang saatnya kita harus bicara .","Statement"
"65","Yang benar adalah benar, yang salah adalah salah .","Statement"
"66","Pelanggaran peraturan-peraturan yang bertentangan dengan konstitusi dan Undang- Undang kita diamkan?","Statement"
"67","Mau kemana kita?","Statement"
"68","Pimpinan selalu melihat itu-itu saja yang28bicara .","Opinion"
"69","Pimpinan yang lain kemana?","Other"
"70","Kalau tidak Fadli Zon, Fahri Hamzah-Fadli Zon, Fahri Flamzah .","Other"
"71","Seolah-olah dianggap bahwa hanya 2 orang ini yang punya kepentingan .","Statement"
"72","Kita semuanya harus satu suara, bicara ini .","Statement"
"73","Ini untuk kepentingan rakyat .","Other"
"74","Semua kita harus mempertanggungjawabkan apa yang kita perjuangkan didalam DPR ini kepada konstituen kita masing-masing .","Other"
"75","Dan kalau sudah mati kita bertanggungjawab kepada Allah Subhanahu Wataala .","Other"
"76","Pak Novanto umurnya hampir 60 .","Other"
"77","Tidak usah takut mati Pak Novanto .","Other"
"78","Kita miskin saja tidak takut mati, apalagi kaya .","Statement"
"79","Jangan dibalik-balik hidup ini .","Statement"
"80","Jadi saya minta kita semua dan terutama Pimpinan sebagai speaker kita, juru bicara kita harus lebih tegas menghadapi seluruh keputusan-keputusan Pemerintah .","Suggestion"
"81","Kita bukan anti Pemerintah, mengkritisi supaya negara ini tidak lama .","Statement"
"82","Jangan lama kelamaan tidak jelas kemana arahnya .","Statement"
"83","Ini sangat penting menurut saya .","Other"
"84","Terima kasih .","Statement"
"85","Assalamu'alaikum Warahmatullahi Wabarakaatuh .","Other"
"86","KETUA RAPAT:Baik .","Other"
"87","Bapak/lbu sekalian,Saya kira dari Fraksi PKS dan Fraksi Nasdem tadi sudah cukup mewakili suara kita .","Other"
"88","Kita lanjutkan ke agenda-agenda kita .","Other"
"89","Baik, kita buka 2 lagi ya .","Other"
"90","Disini ada Ibu Nurhayati bersama Pak Edison .","Other"
"91","F-PD (DR Hj NURHAYATI ALI ASSEGAF, MSi):Terima kasih Pimpinan .","Other"
"92","Bismillahirahmanirrahim,Assalamu'alaikum Warahmatullahi Wabarakaatuh,Selamat pagi, dan Salam sejahtera .","Other"
"93","Saya ingin mengemukakan yang paling baru berita tentang pasukan perdamaian kita di Darfur Sudan yang ketangkap menyelundupkan senjata api .","Other"
"94","Indonesia dikenal dengan negara yang paling banyak mengirimkan pasukan perdamaian sesuai dengan amanat pembukaan Undang-Undang Dasar 1945 bahwa kita tidak mau konflik atau apa pun bahwa Indonesia tidak bisa menerima kejadian yang tidak adil .","Suggestion"
"95","Kejadian di Darfur, TNI yang pasukan perdamaian kita yang dituduh yang sudah dengan nyata menyelundupkan senjata api ini sangat mencoreng nama Bangsa Indonesia yang terkenal paling banyak mengirim pasukan perdamaian .","Suggestion"
