"ID","Kalimat","Kelas"
"0","Pertama-tama tentunya marilah kita mengucapkan syukur kepada Allah SWT, Tuhan Yang Maha Kuasa yang telah memberikan rahmat dan karunia-Nya, sehingga pada hari ini kita bisa mengikuti Rapat Paripurna DPR Rl dalam keadaan sehat walafiat untuk melaksanakan tugas konstitusional dalam kaitan tugas kedewanan .","Other"
"1","Bapak, Ibu sekalian,Menurut catatan dari Sekretariat Jenderal DPR Rl, hadir dari awal Rapat Paripurna ini sebanyak 300 orang Anggota, terdiri dari:1 .","Other"
"2","Fraksi PDI Perjuangan2 .","Other"
"3","Fraksi Partai Golongan Karya3 .","Other"
"4","Fraksi Partai Gerakan Indonesia Raya4 .","Statement"
"5","Fraksi Partai Demokrat5 .","Other"
"6","Fraksi Partai Amanat Nasional6 .","Other"
"7","Fraksi Partai Kebangkitan Bangsa40 dari 106 orang anggota .","Other"
"8","49 dari 90 orang anggota .","Other"
"9","43 dari 73 orang anggota .","Other"
"10","25 dari 60 orang anggota .","Other"
"11","27 dari 48 orang anggota .","Other"
"12","30 dari 47 orang anggota .","Statement"
"13","Fraksi Partai Keadilan Sejahtera8 .","Other"
"14","Fraksi Partai Persatuan Pembangunan9 .","Other"
"15","Fraksi Partai Nasional Demokrat10 .","Other"
"16","Fraksi Partai Hati Nurani Rakyat25 dari 40 orang anggota .","Other"
"17","18 dari 39 orang anggota .","Other"
"18","24 dari 36 orang anggota .","Other"
"19","8 dari 16 orang anggota .","Statement"
"20","Bapak/lbu sekalian,Dengan demikian kuorum telah tercapai dan dengan mengucap Bismillaahirrahmaanirrahiim perkenankanlah kami selaku Pimpinan Dewan untuk membuka Rapat Paripurna DPR Rl yang ke-31 Masa Persidangan Ke-IV, Kamis tanggal 28 Mei 2015 dan dinyatakan terbuka untuk umum .","Other"
"21","(RAPAT DIBUKA PUKUL 11 .","Other"
"22","10 WIB)Berdasarkan Pasal 59 Ayat (1) huruf d Undang-undang Nomor 24 Tahun 2009 tentang Bendera, Bahasa dan Lambang Negara serta Lagu Kebangsaan, disebutkan bahwa Lagu Kebangsaan wajib diperdengarkan dan atau dinyanyikan dalam acara pembukaan Sidang Paripurna MPR Rl, DPR Rl, DPRD, dan DPD Rl .","Other"
"23","Berkaitan dengan itu, izinkanlah kami mengajak seluruh hadirin sekalian untuk berdiri dan menyanyikan lagu kebangsaan Indonesia Raya .","Other"
"24","(MENYANYIKAN LAGU KEBANGSAAN INDONESIA RAYA)Hadirin kami persilakan duduk kembali .","Other"
"25","Sidang Dewan yang kami hormati,Sesuai dengan hasil keputusan Rapat Paripurna tanggal 26 Mei 2015, acara Rapat Paripurna hari ini adalah Tanggapan Pemerintah terhadap Pandangan Fraksi- fraksi mengenai Pokok-pokok Pembicaraan Pendahuluan Penyusunan RAPBN Tahun Anggaran 2016 .","Other"
"26","22Apakah dapat disetujui?(RAPAT: SETUJU)Bapak, Ibu sekalian,Yang terhormat seluruh Anggota DPR Rl .","Statement"
"27","Sebelumnya kami beritahukan bahwa Pimpinan Dewan telah menerima 4pucuk surat:1 .","Other"
"28","Surat dari Presiden Republik Indonesia Nomor R-31/Pres/05/2015,tanggal 21 Mei 2015 perihal Permohonan Pertimbangan Kewarganegaraan Republik Indonesia atas nama Saudara Nastrusiniku Roksana Andrea .","Other"
"29","Surat dari Presiden Republik Indonesia Nomor R-32/Pres/05/2015,tanggal 26 Mei 2015 perihal Permohonan Pertimbangan BagifiPencalonan Duta Besar Luar Biasa dan Berkuasa Penuh ,NgaraS Sahabat untuk Republik Indonesia .","Statement"
"30","Surat dari Presiden Republik Indonesia Nomor R-33/Pres/05/2015,tanggal 26 Mei 2015 perihal Rancangan Undang-undang tentang Pencabutan Peraturan Pemerintah pengganti Undang-undang Nomor 4 Tahun 2008 tentang Jaring Pengaman Sistem Keuangan .","Other"
"31","Surat dari Tim Pengusul Perubahan kedua atas Undang-undang Nomor 1Tahun 2015 tentang Penetapan Peraturan Pemerintah pengganti Undang-undang Nomor 1 Tahun 2014 tentang Pemilihan Gubernur, Bupati dan Walikota menjadi Undang-undang Nomor 1 Tahun 2015, tanggal 25 Mei 2015 perihal i^sul fevisi undang-undang .","Other"
"32","/Selanjutnya berkenaan dengan 4 surat tersebut akan ditindaklanjuti sesuai dengan Peraturan DPR Rl tentang Tata Tertib dan kemudian akan disesuaikan dengan mekanisme yang berlaku .","Other"
"33","23Marilah kita memasuki acara Rapat Paripurna Dewan hari ini yaitu Tanggapan Pemerintah terhadap Pandangan Fraksi-fraksi mengenai Pokok-pokok Pembicaraan Pendahuluan Penyusunan RAPBNTahun 2016 .","Other"
"34","Kami persilakan kepada Saudara Menteri Keuangan untuk segera menyampaikan .","Other"
"35","MENTERI KEUANGAN Rl (BAMBANG PERMADI SOEMANTRI BROJONEGORO):Bismillaahirrahmaanirrahiim .","Suggestion"
"36","Yang saya hormati Bapak Ketua,Bapak-Bapak Wakil Ketua, sertaIbu dan Bapak Anggota Dewan Perwakilan Rakyat Republik Indonesia .","Other"
"37","Assalamu'alaikum warahmatullahi wabarakatuh .","Other"
"38","Selamat pagi dan salam sejahtera buat kita semua .","Other"
"39","Pertama-tama marilah kita panjatkan puji syukur kehadirat Allah SWT, karena atas segala rahmat dan karunia-Nya, pada pagi hari ini kita masih diberikan kesempatan untuk dapat melaksanakan tugas dan kewajiban konstitusional melanjutkan pembahasan Kerangka Ekonomi Makro dan Pokok-pokok Kebijakan Fiskal (KEM dan PPKF) dalam rangka Pembicaraan Pendahuluan Penyusunan Rancangan Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2016 .","Other"
"40","Selanjutnya perkenankanlah kami atas nama pemerintah menyampaikan ucapan terima kasih dan penghargaan setinggi-tingginya kepada semua Fraksi DPR Rl atas berbagai masukan, saran dan pandangan, serta dukungannya terhadap Kerangka Ekonomi Makro dan Pokok-pokok Kebijakan Fiskal Tahun 2016 yang telah disampaikan oleh pemerintah pada tanggal 20 Mei 2015 yang lalu .","Request"
"41","Berbagai saran dan pandangan yang telah disampaikan oleh seluruh Fraksi tersebut menjadi masukan yang sangat berharga bagi penyempurnaan KEM dan PPKFHadirin Sidang yang terhormat,24Tahun 2016 yang akan dijadikan acuan bagi pemerintah dalam menyusun RAPBN Tahun Anggaran 2016 .","Statement"
"42","Bapak Ketua, para Wakil Ketua, sertaIbu dan Bapak Anggota Dewan yang terhormat .","Statement"
"43","Pada kesempatan yang sangat baik ini, perkenankanlah kami memberikan tanggapan dan jawaban terhadap berbagai pertanyaan, masukan, saran dan pandangan yang telah disampaikan oleh Saudara Daniel Lumban Tobing mewakili Fraksi Partai Demokrasi Indonesia Perjuangan, Saudari Hj. Dewi Asmara, S. H. , M. H. , mewakili Fraksi Partai Golongan Karya, Saudara H. Wilgo Zainar, S. E. , M. B. A. , mewakili Fraksi Partai Gerakan Indonesia Raya, Saudara Rinto Subekti, S. E. , M. M. , mewakili Fraksi Partai Demokrat, Saudara Ir. A. Riski Sadig mewakili Fraksi Partai Amanat Nasional, Saudara H. Cucun Ahmad Syamsurijal mewakili Fraksi Partai Kebangkitan Bangsa, Saudara H. Andi Akmal Pasluddin, S. P. , M. M. , mewakili Fraksi Partai Keadilan Sejahtera, Saudari Dr. Hj. Reni Mariinawati mewakili Fraksi Partai Persatuan Pembangunan, Saudara Johnny G Plate mewakili Fraksi Partai Nasional Demokrat, serta Saudara Djoni Rolindrawan, S. E. , M. Mar .","Other"
"44",", M. B. A, mewakili Fraksi Partai Hati Nurani Rakyat .","Other"
"45","Pimpinan dan segenap Anggota Dewan yang terhormat,Sebelum menanggapi pandangan-pandangan sebagian besar Fraksi terkait dengan perkembangan dan perkiraan asumsi ekonomi makro Tahun 2016, dalam kesempatan ini kami menyampaikan apresiasi atas pandangan sebagian besar Fraksi terkait fakta bahwa perlambatan kinerja ekonomi nasional Indonesia tidak hanya semata- mata dipengaruhi oleh faktor domestik tetapi juga dipengaruhi lingkungan ekonomi global .","Other"
"46","Secara lebih spesifik faktor global yang kurang kondusif khususnya terkait rencana penghentian kebijakan stimulus moneter di Amerika Serikat telah menimbulkan gejolak pasar keuangan global, perlambatan kinerja mitra dagang utama Indonesia dalam beberapa tahun terakhir seperti di Tiongkok, Jepang dan Eropa, serta kecenderungan menurunnya harga komoditas yang telah menyebabkan menurunnya kinerja ekspor .","Statement"
"47","25Menanggapi pandangan dari Fraksi PDIP, Fraksi Golkar, Fraksi Gerindra, Fraksi Partai Demokrat, Fraksi Partai Amanat Nasional, Fraksi Partai Kebangkitan Bangsa, Fraksi Partai Keadilan Sejahtera, Fraksi Partai Persatuan Pembangunan, Fraksi Nasional Demokrat, serta Fraksi Hati Nurani Rakyat mengenai asumsi pertumbuhan ekonomi dapat kami sampaikan penjelasan sebagai berikut .","Statement"
"48","Dengan mempertimbangkan berbagai potensi dan resiko, baik yang berasal dari domestik maupun eksternal, menurut hemat kami asumsi pertumbuhan ekonomii Tahun 2016 yang diperkirakan pada kisaran 5,8 sampai 6,2% cukup realistis .","Statement"
"49","Dari sisi eksternal, perkiraan membaiknya kinerja ekonomi global dalam Tahun 2016 diharapkan dapat turut membantu perbaikan kinerja perekonomian nasional .","Statement"
"50","Namun demikian, perbaikan kinerja perekonomian nasional diperkirakan akan lebih banyak bergantung kepada faktor domestik, terutama konsumsi rumah tangga dan investasi .","Statement"
